dataset,config,fold,seed,acc,cost
arrhythmia,twofe,2,2,0.7345,50.1
arrhythmia,bandit,2,2,0.7611,56.0
arrhythmia,twofe,3,0,0.7522,50.1
arrhythmia,bandit,3,0,0.7611,56.7
arrhythmia,twofe,3,1,0.7522,50.1
arrhythmia,bandit,3,1,0.7611,56.9
arrhythmia,twofe,3,2,0.7257,50.1
arrhythmia,bandit,3,2,0.7522,57.7
libras,twofe,0,0,0.8194,53.7
libras,bandit,0,0,0.8472,64.5
libras,twofe,0,1,0.875,53.7
libras,bandit,0,1,0.8611,63.0
libras,twofe,0,2,0.8889,53.7
libras,bandit,0,2,0.8889,62.9
libras,twofe,1,0,0.8611,53.7
libras,bandit,1,0,0.8056,64.3
libras,twofe,1,1,0.8056,53.7
libras,bandit,1,1,0.8056,62.9
libras,twofe,1,2,0.7917,53.7
libras,bandit,1,2,0.7917,63.4
libras,twofe,2,0,0.8056,53.2
libras,bandit,2,0,0.8056,63.2
libras,twofe,2,1,0.8333,53.2
libras,bandit,2,1,0.7778,61.8
libras,twofe,2,2,0.75,53.2
libras,bandit,2,2,0.7222,63.8
libras,twofe,3,0,0.7778,54.2
libras,bandit,3,0,0.7778,64.6
libras,twofe,3,1,0.8194,54.2
libras,bandit,3,1,0.7917,64.7
libras,twofe,3,2,0.7639,54.2
libras,bandit,3,2,0.7361,64.4
plant-shape,twofe,0,0,0.5531,55.1
plant-shape,bandit,0,0,0.5375,65.6
plant-shape,twofe,0,1,0.5594,55.1
plant-shape,bandit,0,1,0.5281,65.6
plant-shape,twofe,0,2,0.5344,55.1
plant-shape,bandit,0,2,0.5281,66.4
plant-shape,twofe,1,0,0.5375,55.1
plant-shape,bandit,1,0,0.5469,65.9
plant-shape,twofe,1,1,0.5344,55.1
plant-shape,bandit,1,1,0.5188,65.2
plant-shape,twofe,1,2,0.5469,55.1
plant-shape,bandit,1,2,0.5406,65.1
plant-shape,twofe,2,0,0.5812,55.1
plant-shape,bandit,2,0,0.5719,65.0
plant-shape,twofe,2,1,0.5688,55.1
plant-shape,bandit,2,1,0.5531,65.9
plant-shape,twofe,2,2,0.6094,55.1
plant-shape,bandit,2,2,0.5906,65.9
plant-shape,twofe,3,0,0.6281,55.1
plant-shape,bandit,3,0,0.6062,66.6
plant-shape,twofe,3,1,0.6312,55.1
plant-shape,bandit,3,1,0.6344,65.6
plant-shape,twofe,3,2,0.6,55.1
plant-shape,bandit,3,2,0.5875,65.9
plant-margin,twofe,0,0,0.7219,50.7
plant-margin,bandit,0,0,0.7219,58.9
plant-margin,twofe,0,1,0.7312,50.7
plant-margin,bandit,0,1,0.7156,60.1
plant-margin,twofe,0,2,0.6938,50.7
plant-margin,bandit,0,2,0.7281,60.3
plant-margin,twofe,1,0,0.7188,50.7
plant-margin,bandit,1,0,0.7438,58.9
plant-margin,twofe,1,1,0.6969,50.7
plant-margin,bandit,1,1,0.6969,58.9
plant-margin,twofe,1,2,0.725,50.7
plant-margin,bandit,1,2,0.6969,59.8
plant-margin,twofe,2,0,0.6875,50.7
plant-margin,bandit,2,0,0.6688,58.9
plant-margin,twofe,2,1,0.7188,50.7
plant-margin,bandit,2,1,0.7094,58.9
plant-margin,twofe,2,2,0.7031,50.7
plant-margin,bandit,2,2,0.725,58.9
plant-margin,twofe,3,0,0.7656,50.7
plant-margin,bandit,3,0,0.7781,60.3
plant-margin,twofe,3,1,0.7438,50.7
plant-margin,bandit,3,1,0.7438,58.4
plant-margin,twofe,3,2,0.7469,50.7
plant-margin,bandit,3,2,0.7594,58.9
plant-texture,twofe,0,0,0.7625,50.7
plant-texture,bandit,0,0,0.7812,59.6
plant-texture,twofe,0,1,0.75,50.7
plant-texture,bandit,0,1,0.7469,59.1
plant-texture,twofe,0,2,0.7625,50.7
plant-texture,bandit,0,2,0.7594,59.1
plant-texture,twofe,1,0,0.7406,50.0
plant-texture,bandit,1,0,0.7344,58.1
plant-texture,twofe,1,1,0.7156,50.0
plant-texture,bandit,1,1,0.7188,57.1
plant-texture,twofe,1,2,0.7469,50.0
plant-texture,bandit,1,2,0.7562,57.3
plant-texture,twofe,2,0,0.7406,50.7
plant-texture,bandit,2,0,0.7438,58.9
plant-texture,twofe,2,1,0.7031,50.7
plant-texture,bandit,2,1,0.7219,59.8
plant-texture,twofe,2,2,0.7156,50.7
plant-texture,bandit,2,2,0.7156,58.9
plant-texture,twofe,3,0,0.7156,50.7
plant-texture,bandit,3,0,0.7125,58.4
plant-texture,twofe,3,1,0.6875,50.7
plant-texture,bandit,3,1,0.6906,59.6
plant-texture,twofe,3,2,0.7219,50.7
plant-texture,bandit,3,2,0.7406,58.7
semeion,twofe,0,0,0.9146,47.6
semeion,bandit,0,0,0.9296,52.7
semeion,twofe,0,1,0.9171,47.6
semeion,bandit,0,1,0.9422,53.5
semeion,twofe,0,2,0.9221,47.6
semeion,bandit,0,2,0.9296,53.7
semeion,twofe,1,0,0.907,47.8
semeion,bandit,1,0,0.9121,54.5
semeion,twofe,1,1,0.9121,47.8
semeion,bandit,1,1,0.9271,53.7
semeion,twofe,1,2,0.9246,47.8
semeion,bandit,1,2,0.9146,53.4
semeion,twofe,2,0,0.9372,47.6
semeion,bandit,2,0,0.9472,53.5
semeion,twofe,2,1,0.9322,47.6
semeion,bandit,2,1,0.9397,53.7
semeion,twofe,2,2,0.9347,47.6
semeion,bandit,2,2,0.9372,53.5
semeion,twofe,3,0,0.9095,47.4
semeion,bandit,3,0,0.9146,52.4
semeion,twofe,3,1,0.907,47.4
semeion,bandit,3,1,0.9196,52.7
semeion,twofe,3,2,0.9146,47.4
semeion,bandit,3,2,0.9121,52.7
musk-2,twofe,0,0,0.9757,55.6
musk-2,bandit,0,0,0.9788,65.7
musk-2,twofe,0,1,0.9745,55.6
musk-2,bandit,0,1,0.9782,66.2
musk-2,twofe,0,2,0.9721,55.6
musk-2,bandit,0,2,0.9782,65.6
musk-2,twofe,1,0,0.9751,55.9
musk-2,bandit,1,0,0.9776,66.6
musk-2,twofe,1,1,0.9745,55.9
musk-2,bandit,1,1,0.9776,66.6
musk-2,twofe,1,2,0.9739,55.9
musk-2,bandit,1,2,0.9842,66.6
musk-2,twofe,2,0,0.9709,55.9
musk-2,bandit,2,0,0.977,66.5
musk-2,twofe,2,1,0.9685,55.9
musk-2,bandit,2,1,0.9733,66.6
musk-2,twofe,2,2,0.9745,55.9
musk-2,bandit,2,2,0.9788,66.6
musk-2,twofe,3,0,0.9763,55.9
musk-2,bandit,3,0,0.983,66.6
musk-2,twofe,3,1,0.9776,55.9
musk-2,bandit,3,1,0.9867,66.6
musk-2,twofe,3,2,0.9776,55.9
musk-2,bandit,3,2,0.9812,66.6
pittsburg-bridges-MATERIAL,twofe,0,0,0.9091,47.6
pittsburg-bridges-MATERIAL,bandit,0,0,0.9545,45.9
pittsburg-bridges-MATERIAL,twofe,0,1,0.9091,47.6
pittsburg-bridges-MATERIAL,bandit,0,1,0.9091,48.0
pittsburg-bridges-MATERIAL,twofe,0,2,0.9545,47.6
pittsburg-bridges-MATERIAL,bandit,0,2,0.9545,46.7
pittsburg-bridges-MATERIAL,twofe,1,0,0.8182,47.6
pittsburg-bridges-MATERIAL,bandit,1,0,0.8182,47.6
pittsburg-bridges-MATERIAL,twofe,1,1,0.8636,47.6
pittsburg-bridges-MATERIAL,bandit,1,1,0.8636,48.0
pittsburg-bridges-MATERIAL,twofe,1,2,0.8182,47.6
pittsburg-bridges-MATERIAL,bandit,1,2,0.8182,46.3
pittsburg-bridges-MATERIAL,twofe,2,0,0.8182,47.6
pittsburg-bridges-MATERIAL,bandit,2,0,0.8636,48.0
pittsburg-bridges-MATERIAL,twofe,2,1,0.8636,47.6
pittsburg-bridges-MATERIAL,bandit,2,1,0.8636,48.0
pittsburg-bridges-MATERIAL,twofe,2,2,0.8636,47.6
pittsburg-bridges-MATERIAL,bandit,2,2,0.8636,48.0
pittsburg-bridges-MATERIAL,twofe,3,0,0.8182,47.6
pittsburg-bridges-MATERIAL,bandit,3,0,0.8636,47.6
pittsburg-bridges-MATERIAL,twofe,3,1,0.8636,47.6
pittsburg-bridges-MATERIAL,bandit,3,1,0.8182,47.6
pittsburg-bridges-MATERIAL,twofe,3,2,0.7727,47.6
pittsburg-bridges-MATERIAL,bandit,3,2,0.8182,48.4
pittsburg-bridges-TYPE,twofe,0,0,0.619,47.6
pittsburg-bridges-TYPE,bandit,0,0,0.619,46.7
pittsburg-bridges-TYPE,twofe,0,1,0.6667,47.6
pittsburg-bridges-TYPE,bandit,0,1,0.7143,48.0
pittsburg-bridges-TYPE,twofe,0,2,0.5714,47.6
pittsburg-bridges-TYPE,bandit,0,2,0.619,49.3
pittsburg-bridges-TYPE,twofe,1,0,0.7619,47.6
pittsburg-bridges-TYPE,bandit,1,0,0.7143,49.7
pittsburg-bridges-TYPE,twofe,1,1,0.7619,47.6
pittsburg-bridges-TYPE,bandit,1,1,0.7143,48.4
pittsburg-bridges-TYPE,twofe,1,2,0.6667,47.6
pittsburg-bridges-TYPE,bandit,1,2,0.7143,46.7
pittsburg-bridges-TYPE,twofe,2,0,0.6667,47.6
pittsburg-bridges-TYPE,bandit,2,0,0.6667,48.4
pittsburg-bridges-TYPE,twofe,2,1,0.5238,47.6
pittsburg-bridges-TYPE,bandit,2,1,0.5714,48.0
pittsburg-bridges-TYPE,twofe,2,2,0.6667,47.6
pittsburg-bridges-TYPE,bandit,2,2,0.6667,53.1
pittsburg-bridges-TYPE,twofe,3,0,0.5238,47.6
pittsburg-bridges-TYPE,bandit,3,0,0.5714,51.4
pittsburg-bridges-TYPE,twofe,3,1,0.619,47.6
pittsburg-bridges-TYPE,bandit,3,1,0.6667,46.7
pittsburg-bridges-TYPE,twofe,3,2,0.4762,47.6
pittsburg-bridges-TYPE,bandit,3,2,0.5238,46.7
conn-bench-sonar-mines-rocks,twofe,0,0,0.8269,46.9
conn-bench-sonar-mines-rocks,bandit,0,0,0.8269,52.7
conn-bench-sonar-mines-rocks,twofe,0,1,0.8269,46.9
conn-bench-sonar-mines-rocks,bandit,0,1,0.8269,49.6
conn-bench-sonar-mines-rocks,twofe,0,2,0.8269,46.9
conn-bench-sonar-mines-rocks,bandit,0,2,0.8462,54.1
conn-bench-sonar-mines-rocks,twofe,1,0,0.7308,46.1
conn-bench-sonar-mines-rocks,bandit,1,0,0.7115,49.0
conn-bench-sonar-mines-rocks,twofe,1,1,0.6538,46.1
conn-bench-sonar-mines-rocks,bandit,1,1,0.6731,48.7
conn-bench-sonar-mines-rocks,twofe,1,2,0.7308,46.1
conn-bench-sonar-mines-rocks,bandit,1,2,0.7308,48.3
conn-bench-sonar-mines-rocks,twofe,2,0,0.7308,46.9
conn-bench-sonar-mines-rocks,bandit,2,0,0.7692,50.7
conn-bench-sonar-mines-rocks,twofe,2,1,0.75,46.9
conn-bench-sonar-mines-rocks,bandit,2,1,0.8269,49.1
conn-bench-sonar-mines-rocks,twofe,2,2,0.8269,46.9
conn-bench-sonar-mines-rocks,bandit,2,2,0.8269,52.0
conn-bench-sonar-mines-rocks,twofe,3,0,0.7885,46.1
conn-bench-sonar-mines-rocks,bandit,3,0,0.7308,50.8
conn-bench-sonar-mines-rocks,twofe,3,1,0.8077,46.1
conn-bench-sonar-mines-rocks,bandit,3,1,0.7885,48.7
conn-bench-sonar-mines-rocks,twofe,3,2,0.75,46.1
conn-bench-sonar-mines-rocks,bandit,3,2,0.7692,46.9
