dataset,fold,phase,fe,count
monks-3,3,mid,identity,30
monks-3,3,mid,autofeat,0
monks-3,3,mid,random_proj,3
monks-3,3,mid,ht_svd,0
monks-3,3,mid,robust,0
monks-3,3,mid,minmax,0
monks-3,3,late,identity,27
monks-3,3,late,autofeat,0
monks-3,3,late,random_proj,6
monks-3,3,late,ht_svd,0
monks-3,3,late,robust,0
monks-3,3,late,minmax,0
vertebral-column-3clases,0,early,identity,7
vertebral-column-3clases,0,early,autofeat,8
vertebral-column-3clases,0,early,random_proj,4
vertebral-column-3clases,0,early,ht_svd,15
vertebral-column-3clases,0,early,robust,0
vertebral-column-3clases,0,early,minmax,0
vertebral-column-3clases,0,mid,identity,3
vertebral-column-3clases,0,mid,autofeat,3
vertebral-column-3clases,0,mid,random_proj,1
vertebral-column-3clases,0,mid,ht_svd,26
vertebral-column-3clases,0,mid,robust,0
vertebral-column-3clases,0,mid,minmax,0
vertebral-column-3clases,0,late,identity,4
vertebral-column-3clases,0,late,autofeat,2
vertebral-column-3clases,0,late,random_proj,3
vertebral-column-3clases,0,late,ht_svd,24
vertebral-column-3clases,0,late,robust,0
vertebral-column-3clases,0,late,minmax,0
vertebral-column-3clases,1,early,identity,4
vertebral-column-3clases,1,early,autofeat,3
vertebral-column-3clases,1,early,random_proj,14
vertebral-column-3clases,1,early,ht_svd,13
vertebral-column-3clases,1,early,robust,0
vertebral-column-3clases,1,early,minmax,0
vertebral-column-3clases,1,mid,identity,0
vertebral-column-3clases,1,mid,autofeat,4
vertebral-column-3clases,1,mid,random_proj,16
vertebral-column-3clases,1,mid,ht_svd,13
vertebral-column-3clases,1,mid,robust,0
vertebral-column-3clases,1,mid,minmax,0
vertebral-column-3clases,1,late,identity,6
vertebral-column-3clases,1,late,autofeat,8
vertebral-column-3clases,1,late,random_proj,5
vertebral-column-3clases,1,late,ht_svd,14
vertebral-column-3clases,1,late,robust,0
vertebral-column-3clases,1,late,minmax,0
vertebral-column-3clases,2,early,identity,7
vertebral-column-3clases,2,early,autofeat,8
vertebral-column-3clases,2,early,random_proj,9
vertebral-column-3clases,2,early,ht_svd,10
vertebral-column-3clases,2,early,robust,0
vertebral-column-3clases,2,early,minmax,0
vertebral-column-3clases,2,mid,identity,0
vertebral-column-3clases,2,mid,autofeat,0
vertebral-column-3clases,2,mid,random_proj,1
vertebral-column-3clases,2,mid,ht_svd,32
vertebral-column-3clases,2,mid,robust,0
vertebral-column-3clases,2,mid,minmax,0
vertebral-column-3clases,2,late,identity,0
vertebral-column-3clases,2,late,autofeat,2
vertebral-column-3clases,2,late,random_proj,1
vertebral-column-3clases,2,late,ht_svd,30
vertebral-column-3clases,2,late,robust,0
vertebral-column-3clases,2,late,minmax,0
vertebral-column-3clases,3,early,identity,5
vertebral-column-3clases,3,early,autofeat,1
vertebral-column-3clases,3,early,random_proj,21
vertebral-column-3clases,3,early,ht_svd,7
vertebral-column-3clases,3,early,robust,0
vertebral-column-3clases,3,early,minmax,0
vertebral-column-3clases,3,mid,identity,1
vertebral-column-3clases,3,mid,autofeat,1
vertebral-column-3clases,3,mid,random_proj,2
vertebral-column-3clases,3,mid,ht_svd,29
vertebral-column-3clases,3,mid,robust,0
vertebral-column-3clases,3,mid,minmax,0
vertebral-column-3clases,3,late,identity,2
vertebral-column-3clases,3,late,autofeat,1
vertebral-column-3clases,3,late,random_proj,5
vertebral-column-3clases,3,late,ht_svd,25
vertebral-column-3clases,3,late,robust,0
vertebral-column-3clases,3,late,minmax,0
arrhythmia,0,early,identity,12
arrhythmia,0,early,autofeat,11
arrhythmia,0,early,random_proj,6
arrhythmia,0,early,ht_svd,5
arrhythmia,0,early,robust,0
arrhythmia,0,early,minmax,0
arrhythmia,0,mid,identity,5
arrhythmia,0,mid,autofeat,11
arrhythmia,0,mid,random_proj,6
arrhythmia,0,mid,ht_svd,11
arrhythmia,0,mid,robust,0
arrhythmia,0,mid,minmax,0
arrhythmia,0,late,identity,10
arrhythmia,0,late,autofeat,8
arrhythmia,0,late,random_proj,10
arrhythmia,0,late,ht_svd,5
arrhythmia,0,late,robust,0
arrhythmia,0,late,minmax,0
arrhythmia,1,early,identity,4
arrhythmia,1,early,autofeat,12
arrhythmia,1,early,random_proj,10
arrhythmia,1,early,ht_svd,8
arrhythmia,1,early,robust,0
arrhythmia,1,early,minmax,0
arrhythmia,1,mid,identity,1
arrhythmia,1,mid,autofeat,17
arrhythmia,1,mid,random_proj,12
arrhythmia,1,mid,ht_svd,3
arrhythmia,1,mid,robust,0
arrhythmia,1,mid,minmax,0
arrhythmia,1,late,identity,3
arrhythmia,1,late,autofeat,14
arrhythmia,1,late,random_proj,10
arrhythmia,1,late,ht_svd,6
arrhythmia,1,late,robust,0
arrhythmia,1,late,minmax,0
arrhythmia,2,early,identity,16
arrhythmia,2,early,autofeat,8
arrhythmia,2,early,random_proj,8
arrhythmia,2,early,ht_svd,2
arrhythmia,2,early,robust,0
arrhythmia,2,early,minmax,0
arrhythmia,2,mid,identity,5
arrhythmia,2,mid,autofeat,4
arrhythmia,2,mid,random_proj,15
arrhythmia,2,mid,ht_svd,9
arrhythmia,2,mid,robust,0
arrhythmia,2,mid,minmax,0
arrhythmia,2,late,identity,11
arrhythmia,2,late,autofeat,0
arrhythmia,2,late,random_proj,9
arrhythmia,2,late,ht_svd,13
arrhythmia,2,late,robust,0
arrhythmia,2,late,minmax,0
arrhythmia,3,early,identity,12
arrhythmia,3,early,autofeat,11
arrhythmia,3,early,random_proj,8
arrhythmia,3,early,ht_svd,3
arrhythmia,3,early,robust,0
arrhythmia,3,early,minmax,0
arrhythmia,3,mid,identity,12
arrhythmia,3,mid,autofeat,6
arrhythmia,3,mid,random_proj,11
arrhythmia,3,mid,ht_svd,4
arrhythmia,3,mid,robust,0
arrhythmia,3,mid,minmax,0
arrhythmia,3,late,identity,12
arrhythmia,3,late,autofeat,6
arrhythmia,3,late,random_proj,9
arrhythmia,3,late,ht_svd,6
arrhythmia,3,late,robust,0
arrhythmia,3,late,minmax,0
libras,0,early,identity,3
libras,0,early,autofeat,5
libras,0,early,random_proj,15
libras,0,early,ht_svd,11
libras,0,early,robust,0
libras,0,early,minmax,0
libras,0,mid,identity,6
libras,0,mid,autofeat,13
libras,0,mid,random_proj,2
libras,0,mid,ht_svd,12
libras,0,mid,robust,0
libras,0,mid,minmax,0
libras,0,late,identity,19
libras,0,late,autofeat,9
libras,0,late,random_proj,0
libras,0,late,ht_svd,5
libras,0,late,robust,0
libras,0,late,minmax,0
libras,1,early,identity,7
libras,1,early,autofeat,5
libras,1,early,random_proj,11
libras,1,early,ht_svd,11
libras,1,early,robust,0
libras,1,early,minmax,0
libras,1,mid,identity,7
libras,1,mid,autofeat,9
libras,1,mid,random_proj,6
libras,1,mid,ht_svd,11
libras,1,mid,robust,0
libras,1,mid,minmax,0
libras,1,late,identity,19
libras,1,late,autofeat,6
libras,1,late,random_proj,3
libras,1,late,ht_svd,5
libras,1,late,robust,0
libras,1,late,minmax,0
libras,2,early,identity,10
libras,2,early,autofeat,5
libras,2,early,random_proj,9
libras,2,early,ht_svd,10
libras,2,early,robust,0
libras,2,early,minmax,0
libras,2,mid,identity,7
libras,2,mid,autofeat,13
libras,2,mid,random_proj,4
libras,2,mid,ht_svd,9
libras,2,mid,robust,0
libras,2,mid,minmax,0
libras,2,late,identity,24
libras,2,late,autofeat,2
libras,2,late,random_proj,2
libras,2,late,ht_svd,5
libras,2,late,robust,0
libras,2,late,minmax,0
libras,3,early,identity,1
libras,3,early,autofeat,5
libras,3,early,random_proj,10
libras,3,early,ht_svd,18
libras,3,early,robust,0
libras,3,early,minmax,0
libras,3,mid,identity,2
libras,3,mid,autofeat,6
libras,3,mid,random_proj,9
libras,3,mid,ht_svd,16
libras,3,mid,robust,0
libras,3,mid,minmax,0
libras,3,late,identity,19
libras,3,late,autofeat,4
libras,3,late,random_proj,5
libras,3,late,ht_svd,5
libras,3,late,robust,0
libras,3,late,minmax,0
semeion,0,early,identity,14
semeion,0,early,autofeat,0
semeion,0,early,random_proj,5
semeion,0,early,ht_svd,15
semeion,0,early,robust,0
semeion,0,early,minmax,0
semeion,0,mid,identity,8
semeion,0,mid,autofeat,0
semeion,0,mid,random_proj,5
semeion,0,mid,ht_svd,20
semeion,0,mid,robust,0
semeion,0,mid,minmax,0
semeion,0,late,identity,10
semeion,0,late,autofeat,0
semeion,0,late,random_proj,16
semeion,0,late,ht_svd,7
semeion,0,late,robust,0
semeion,0,late,minmax,0
semeion,1,early,identity,13
semeion,1,early,autofeat,0
semeion,1,early,random_proj,6
semeion,1,early,ht_svd,15
semeion,1,early,robust,0
semeion,1,early,minmax,0
semeion,1,mid,identity,19
semeion,1,mid,autofeat,0
semeion,1,mid,random_proj,7
semeion,1,mid,ht_svd,7
semeion,1,mid,robust,0
semeion,1,mid,minmax,0
semeion,1,late,identity,12
semeion,1,late,autofeat,0
semeion,1,late,random_proj,15
semeion,1,late,ht_svd,6
semeion,1,late,robust,0
semeion,1,late,minmax,0
semeion,2,early,identity,17
semeion,2,early,autofeat,0
semeion,2,early,random_proj,5
semeion,2,early,ht_svd,12
semeion,2,early,robust,0
semeion,2,early,minmax,0
semeion,2,mid,identity,10
semeion,2,mid,autofeat,0
semeion,2,mid,random_proj,12
semeion,2,mid,ht_svd,11
semeion,2,mid,robust,0
semeion,2,mid,minmax,0
semeion,2,late,identity,9
semeion,2,late,autofeat,0
semeion,2,late,random_proj,18
semeion,2,late,ht_svd,6
semeion,2,late,robust,0
semeion,2,late,minmax,0
semeion,3,early,identity,16
semeion,3,early,autofeat,0
semeion,3,early,random_proj,4
semeion,3,early,ht_svd,14
semeion,3,early,robust,0
semeion,3,early,minmax,0
semeion,3,mid,identity,6
semeion,3,mid,autofeat,0
semeion,3,mid,random_proj,7
semeion,3,mid,ht_svd,20
semeion,3,mid,robust,0
semeion,3,mid,minmax,0
semeion,3,late,identity,8
semeion,3,late,autofeat,0
semeion,3,late,random_proj,15
semeion,3,late,ht_svd,10
semeion,3,late,robust,0
semeion,3,late,minmax,0
musk-2,0,early,identity,10
musk-2,0,early,autofeat,12
musk-2,0,early,random_proj,4
musk-2,0,early,ht_svd,8
musk-2,0,early,robust,0
